id,file_name,width,height,file_size (KB),#instances,#categories,shooting angle,complete or partial,color
204,000204.jpg,1000,667,623,1,1,side,partial,blue
205,000205.jpg,1000,667,1077,1,1,side,partial,blue
206,000206.jpg,1000,667,405,1,1,front,partial,N/A
207,000207.jpg,1000,666,794,1,1,front,partial,N/A
208,000208.jpg,1000,668,926,1,1,front,partial,N/A
209,000209.jpg,1000,667,930,1,1,front,partial,red
210,000210.jpg,1000,667,843,2,2,front,partial,gray
211,000211.jpg,1000,562,551,1,1,front,partial,silver
212,000212.jpg,1000,665,797,1,1,inside,partial,N/A
213,000213.jpg,662,1000,1008,2,2,front,partial,champagne
214,000214.jpg,1000,667,654,1,1,front,partial,N/A
215,000215.jpg,1000,750,1011,1,1,front,partial,N/A
216,000216.jpg,1000,667,959,1,1,front,partial,blue
217,000217.jpg,1000,666,893,1,1,front,partial,N/A
218,000218.jpg,1000,667,781,1,1,front,partial,gray
219,000219.jpg,1000,750,1258,1,1,front,partial,gray
220,000220.jpg,1000,667,513,1,1,front,partial,gray
221,000221.jpg,1000,750,604,1,1,front,partial,gray
222,000222.jpg,1000,667,709,1,1,front,partial,orange
223,000223.jpg,1000,667,790,1,1,front,partial,N/A
224,000224.jpg,1000,667,818,2,2,front,partial,black
225,000225.jpg,1000,667,704,1,1,front,partial,black
226,000226.jpg,1000,667,887,1,1,front,partial,white
227,000227.jpg,1000,667,887,1,1,front,partial,silver
228,000228.jpg,1000,667,931,1,1,front,partial,silver
229,000229.jpg,1000,667,998,1,1,front,partial,N/A
230,000230.jpg,1000,667,1069,1,1,front,partial,red
231,000231.jpg,1000,667,697,1,1,front,partial,gray
232,000232.jpg,1000,563,601,1,1,front,partial,N/A
233,000233.jpg,1000,707,531,1,1,front,partial,silver
234,000234.jpg,1000,886,832,5,2,side,partial,red
235,000235.jpg,1000,667,740,1,1,front,partial,black
236,000236.jpg,1000,667,615,3,3,side,partial,gray
237,000237.jpg,1000,665,979,4,2,side,partial,red
238,000238.jpg,1000,668,693,5,3,rear,partial,white
239,000239.jpg,1000,667,1037,1,1,front,partial,blue
240,000240.jpg,1000,667,1100,1,1,rear,partial,blue
241,000241.jpg,1000,667,833,1,1,N/A,partial,gray
242,000242.jpg,1000,575,646,1,1,front,partial,gray
243,000243.jpg,1000,750,669,1,1,front,partial,silver
244,000244.jpg,1000,750,752,1,1,front,partial,silver
245,000245.jpg,1000,667,929,1,1,side,partial,silver
246,000246.jpg,1000,662,1016,1,1,front,partial,white
247,000247.jpg,1000,750,1203,1,1,front,partial,silver
248,000248.jpg,1000,581,867,1,1,front,partial,gray
249,000249.jpg,1000,562,719,1,1,N/A,partial,N/A
250,000250.jpg,1000,664,815,1,1,front,partial,red
251,000251.jpg,1000,631,810,1,1,front,partial,white
252,000252.jpg,1000,667,988,1,1,side,partial,green
253,000253.jpg,1000,667,1242,1,1,side,partial,green
254,000254.jpg,1000,624,723,2,2,front,partial,white
255,000255.jpg,1000,668,863,1,1,front,partial,N/A
256,000256.jpg,1000,668,770,1,1,front,partial,black
257,000257.jpg,1000,667,856,2,2,front,partial,red
258,000258.jpg,1000,668,916,1,1,front,partial,N/A
259,000259.jpg,1000,668,976,1,1,front,partial,N/A
260,000260.jpg,1000,668,873,1,1,N/A,partial,N/A
261,000261.jpg,1000,667,1275,1,1,N/A,partial,N/A
262,000262.jpg,1000,667,863,1,1,front,partial,N/A
263,000263.jpg,1000,667,938,1,1,front,partial,N/A
264,000264.jpg,1000,667,1014,7,2,front,partial,silver
265,000265.jpg,1000,667,1060,6,2,front,partial,silver
266,000266.jpg,1000,750,1100,1,1,side,partial,red
267,000267.jpg,1000,671,1023,1,1,side,partial,green
268,000268.jpg,1000,667,670,3,3,front,partial,silver
269,000269.jpg,1000,667,819,3,2,front,partial,black
270,000270.jpg,1000,667,456,4,3,N/A,partial,white
271,000271.jpg,1000,667,660,3,2,N/A,partial,champagne
272,000272.jpg,1000,667,931,1,1,N/A,partial,blue
273,000273.jpg,1000,636,738,1,1,N/A,partial,silver
274,000274.jpg,1000,644,695,1,1,N/A,partial,green
275,000275.jpg,1000,667,488,2,2,front,partial,white
276,000276.jpg,1000,563,797,3,3,front,partial,white
277,000277.jpg,1000,667,461,1,1,front,partial,blue
278,000278.jpg,1000,664,809,1,1,side,partial,black
279,000279.jpg,1000,667,931,1,1,front,partial,white
280,000280.jpg,667,1000,1016,1,1,front,complete,white
281,000281.jpg,1000,667,548,2,2,rear,partial,gray
282,000282.jpg,1000,647,737,1,1,rear,partial,red
283,000283.jpg,1000,667,748,1,1,rear,partial,red
284,000284.jpg,1000,750,804,3,3,front,partial,white
285,000285.jpg,1000,750,669,1,1,side,partial,champagne
286,000286.jpg,1000,718,899,1,1,front,partial,blue
287,000287.jpg,1000,667,789,1,1,side,partial,black
288,000288.jpg,1000,750,684,1,1,side,partial,gray
289,000289.jpg,1000,667,1028,1,1,side,partial,black
290,000290.jpg,1000,667,710,1,1,front,partial,N/A
291,000291.jpg,1000,667,1195,5,3,front,complete,silver
292,000292.jpg,1000,666,961,4,3,front,complete,silver
293,000293.jpg,1000,667,493,2,2,rear,partial,silver
294,000294.jpg,1000,667,589,2,2,N/A,partial,silver
295,000295.jpg,1000,667,675,8,3,side,partial,white
296,000296.jpg,1000,668,783,1,1,N/A,partial,red
297,000297.jpg,1000,667,685,1,1,N/A,partial,N/A
298,000298.jpg,1000,667,675,4,2,rear,partial,white
299,000299.jpg,1000,667,881,1,1,front,partial,gray
300,000300.jpg,1000,667,989,1,1,rear,partial,red
301,000301.jpg,1000,667,704,2,2,rear,partial,black
302,000302.jpg,1000,667,630,3,2,rear,partial,red
303,000303.jpg,1000,667,858,3,3,side,partial,white
304,000304.jpg,1000,667,885,1,1,side,partial,red
305,000305.jpg,1000,667,794,1,1,side,partial,blue
306,000306.jpg,1000,665,1027,1,1,front,partial,blue
307,000307.jpg,1000,667,518,1,1,front,partial,black
308,000308.jpg,1000,665,765,1,1,front,partial,white
309,000309.jpg,1000,563,764,1,1,front,partial,white
310,000310.jpg,1000,562,843,1,1,front,partial,silver
311,000311.jpg,1000,750,983,1,1,N/A,partial,N/A
312,000312.jpg,1000,667,1194,4,2,front,partial,red
313,000313.jpg,1000,667,1006,3,2,front,partial,red
314,000314.jpg,1000,669,944,1,1,front,partial,white
315,000315.jpg,1000,667,835,1,1,front,partial,N/A
316,000316.jpg,1000,667,1096,1,1,front,partial,N/A
317,000317.jpg,1000,667,762,1,1,front,partial,white
318,000318.jpg,1000,667,828,1,1,front,partial,gray
319,000319.jpg,1000,667,1016,1,1,front,partial,white
320,000320.jpg,1000,672,817,1,1,front,partial,gray
321,000321.jpg,1000,563,635,1,1,front,partial,black
322,000322.jpg,1000,667,886,1,1,N/A,partial,N/A
323,000323.jpg,1000,667,818,3,2,front,complete,black
324,000324.jpg,667,1000,1124,2,2,front,partial,red
325,000325.jpg,1000,700,1254,1,1,front,partial,N/A
326,000326.jpg,1000,488,623,1,1,front,partial,black
327,000327.jpg,1000,667,592,1,1,front,partial,N/A
328,000328.jpg,1000,667,682,1,1,front,partial,gray
329,000329.jpg,1000,667,747,1,1,front,partial,gray
330,000330.jpg,1000,667,877,1,1,front,partial,N/A
331,000331.jpg,1000,667,767,1,1,front,complete,silver
332,000332.jpg,1000,667,709,1,1,inside,partial,N/A
333,000333.jpg,1000,667,620,1,1,front,partial,blue
334,000334.jpg,1000,667,593,1,1,front,partial,blue
335,000335.jpg,1000,652,578,1,1,front,partial,blue
336,000336.jpg,1000,667,510,1,1,front,partial,blue
337,000337.jpg,1000,750,1022,1,1,front,partial,yellow
338,000338.jpg,1000,750,968,1,1,front,partial,yellow
339,000339.jpg,1000,667,779,1,1,front,partial,blue
340,000340.jpg,1000,667,814,1,1,front,partial,pink
341,000341.jpg,1000,667,779,2,1,front,partial,pink
342,000342.jpg,1000,667,752,1,1,front,partial,black
343,000343.jpg,1000,667,721,1,1,front,partial,gray
344,000344.jpg,1000,667,880,1,1,front,partial,gray
345,000345.jpg,1000,667,1040,5,3,side,partial,black
346,000346.jpg,1000,691,719,1,1,side,partial,yellow
347,000347.jpg,1000,562,600,2,2,rear,partial,silver
348,000348.jpg,1000,667,649,4,2,N/A,partial,silver
349,000349.jpg,1000,667,668,1,1,N/A,partial,N/A
350,000350.jpg,1000,665,901,5,2,side,partial,silver
351,000351.jpg,1000,664,830,2,2,rear,partial,silver
352,000352.jpg,1000,664,694,1,1,front,partial,white
353,000353.jpg,1000,647,700,1,1,side,partial,yellow
354,000354.jpg,1000,667,782,1,1,side,partial,silver
355,000355.jpg,1000,750,974,1,1,side,partial,white
356,000356.jpg,1000,674,627,4,2,side,partial,silver
357,000357.jpg,1000,667,712,7,2,side,partial,silver
358,000358.jpg,1000,667,577,3,2,rear,partial,silver
359,000359.jpg,1000,667,669,1,1,N/A,partial,gray
360,000360.jpg,1000,667,531,2,1,N/A,partial,silver
361,000361.jpg,1000,668,593,5,2,side,partial,gray
362,000362.jpg,1000,668,661,5,2,side,partial,gray
363,000363.jpg,1000,750,514,1,1,rear,partial,gray
364,000364.jpg,1000,667,613,5,2,side,partial,white
365,000365.jpg,1000,662,552,3,1,side,partial,silver
366,000366.jpg,1000,668,775,4,2,side,partial,red
367,000367.jpg,1000,603,442,2,1,N/A,partial,white
368,000368.jpg,1000,651,590,1,1,N/A,partial,N/A
369,000369.jpg,1000,668,518,2,1,rear,partial,white
370,000370.jpg,1000,667,569,1,1,side,partial,N/A
371,000371.jpg,1000,667,285,3,2,side,partial,silver
372,000372.jpg,1000,667,581,2,2,N/A,partial,white
373,000373.jpg,1000,667,778,1,1,side,partial,red
374,000374.jpg,1000,667,869,4,4,front,partial,black
375,000375.jpg,1000,564,655,1,1,side,partial,silver
376,000376.jpg,1000,662,716,3,2,rear,partial,silver
377,000377.jpg,1000,666,689,1,1,front,partial,gray
378,000378.jpg,1000,667,809,4,3,side,partial,silver
379,000379.jpg,1000,668,606,3,1,front,partial,silver
380,000380.jpg,1000,662,709,2,2,front,partial,black
381,000381.jpg,1000,666,720,3,2,side,partial,black
382,000382.jpg,1000,666,793,5,3,side,partial,gray
383,000383.jpg,750,1000,857,4,3,rear,partial,gray
384,000384.jpg,1000,750,883,2,2,N/A,partial,gray
385,000385.jpg,668,1000,989,3,3,side,partial,N/A
386,000386.jpg,1000,667,735,8,4,front,partial,white
387,000387.jpg,1000,750,771,1,1,front,partial,silver
388,000388.jpg,1000,667,627,4,2,front,partial,black
389,000389.jpg,1000,750,532,4,2,side,partial,gray
390,000390.jpg,1000,751,987,4,2,front,partial,green
391,000391.jpg,667,1000,726,2,1,front,partial,white
392,000392.jpg,1000,667,473,3,1,side,partial,gray
393,000393.jpg,1000,578,323,4,3,front,complete,gray
394,000394.jpg,1000,668,524,1,1,N/A,partial,N/A
395,000395.jpg,1000,667,999,4,3,front,partial,blue
396,000396.jpg,750,1000,639,3,2,side,partial,black
397,000397.jpg,1000,667,741,1,1,N/A,partial,white
398,000398.jpg,1000,667,712,1,1,front,partial,white
399,000399.jpg,1000,667,836,4,3,front,partial,black
400,000400.jpg,1000,667,502,2,2,rear,complete,silver
401,000401.jpg,667,1000,591,3,3,rear,partial,white
402,000402.jpg,1000,750,931,3,2,rear,complete,silver
403,000403.jpg,1000,667,597,5,3,front,partial,white
404,000404.jpg,1000,667,963,3,2,front,partial,red
405,000405.jpg,1000,667,879,4,3,front,partial,red
406,000406.jpg,1000,785,1060,6,3,front,complete,red
407,000407.jpg,1000,667,990,5,3,front,partial,red
408,000408.jpg,1000,667,862,3,3,front,partial,red
409,000409.jpg,1000,750,550,1,1,rear,partial,gray
410,000410.jpg,1000,667,535,1,1,rear,partial,white
411,000411.jpg,1000,666,729,7,5,side,partial,champagne
412,000412.jpg,1000,583,666,3,3,rear,partial,black
413,000413.jpg,1000,667,663,2,1,rear,partial,white
414,000414.jpg,1000,669,664,1,1,N/A,partial,black
415,000415.jpg,1000,750,825,2,2,side,partial,silver
416,000416.jpg,1000,667,929,3,3,front,partial,mixture
417,000417.jpg,1000,750,852,1,1,side,partial,champagne
418,000418.jpg,1000,713,566,2,1,side,partial,silver
419,000419.jpg,750,1000,947,2,2,side,partial,red
420,000420.jpg,750,1000,1037,3,2,side,partial,red
421,000421.jpg,1000,667,889,1,1,front,partial,N/A
422,000422.jpg,1000,667,803,2,2,N/A,partial,silver
423,000423.jpg,1000,667,795,1,1,rear,partial,blue
424,000424.jpg,1000,667,380,1,1,side,partial,white
425,000425.jpg,1000,667,717,1,1,N/A,partial,silver
426,000426.jpg,1000,682,833,4,2,rear,partial,gray
427,000427.jpg,750,1000,724,1,1,rear,partial,gray
428,000428.jpg,1000,652,529,2,2,front,partial,white
429,000429.jpg,750,1000,962,4,3,rear,partial,green
430,000430.jpg,1000,667,648,5,3,front,partial,white
431,000431.jpg,1000,590,707,2,1,front,partial,silver
432,000432.jpg,1000,667,679,4,2,front,partial,red
433,000433.jpg,1000,667,1026,2,2,front,partial,red
434,000434.jpg,1000,668,1009,1,1,front,partial,N/A
435,000435.jpg,1000,667,838,1,1,side,partial,red
436,000436.jpg,1000,667,838,2,2,front,partial,blue
437,000437.jpg,1000,667,740,2,1,side,partial,silver
438,000438.jpg,1000,665,786,4,2,side,partial,black
439,000439.jpg,1000,665,577,5,3,side,partial,white
440,000440.jpg,1000,667,787,2,2,front,partial,silver
441,000441.jpg,1000,667,522,2,2,N/A,partial,silver
442,000442.jpg,1000,662,466,2,1,front,partial,white
443,000443.jpg,1000,662,748,3,2,side,partial,black
444,000444.jpg,1000,662,726,5,3,side,partial,black
445,000445.jpg,1000,652,479,1,1,side,partial,silver
446,000446.jpg,1000,667,489,2,1,side,partial,silver
447,000447.jpg,1000,665,532,3,2,side,partial,white
448,000448.jpg,1000,667,260,5,1,side,partial,white
449,000449.jpg,1000,660,522,1,1,N/A,partial,white
450,000450.jpg,1000,674,410,1,1,side,partial,white
451,000451.jpg,1000,685,569,1,1,side,partial,white
452,000452.jpg,1000,662,702,1,1,side,partial,red
453,000453.jpg,1000,662,816,2,1,front,partial,black
454,000454.jpg,1000,662,614,2,1,side,partial,black
455,000455.jpg,1000,668,656,2,1,side,partial,silver
456,000456.jpg,1000,668,679,4,2,side,partial,silver
457,000457.jpg,1000,749,675,1,1,front,partial,silver
458,000458.jpg,1000,668,774,3,3,front,partial,gray
459,000459.jpg,1000,666,826,1,1,side,partial,silver
460,000460.jpg,1000,667,596,5,3,front,partial,gray
461,000461.jpg,1000,667,819,5,3,front,partial,gray
462,000462.jpg,1000,750,864,3,2,front,partial,red
463,000463.jpg,1000,667,629,1,1,side,partial,champagne
464,000464.jpg,1000,667,751,1,1,front,partial,white
465,000465.jpg,1000,667,750,1,1,front,partial,white
466,000466.jpg,1000,668,927,1,1,front,partial,red
467,000467.jpg,1000,667,785,6,3,front,partial,silver
468,000468.jpg,1000,667,658,3,2,rear,partial,silver
469,000469.jpg,1000,667,927,1,1,front,partial,red
470,000470.jpg,1000,667,827,1,1,front,partial,gray
471,000471.jpg,1000,667,903,1,1,front,partial,N/A
472,000472.jpg,1000,667,807,1,1,front,partial,N/A
473,000473.jpg,1000,667,729,1,1,front,partial,black
474,000474.jpg,1000,750,814,1,1,front,partial,red
475,000475.jpg,1000,748,912,1,1,rear,partial,silver
476,000476.jpg,1000,751,901,1,1,side,partial,gray
477,000477.jpg,1000,667,763,1,1,N/A,partial,gray
478,000478.jpg,1000,668,573,1,1,N/A,partial,silver
479,000479.jpg,667,1000,579,1,1,front,partial,white
480,000480.jpg,1000,750,495,3,2,side,partial,white
481,000481.jpg,1000,667,447,2,1,N/A,partial,gray
482,000482.jpg,1000,667,534,1,1,N/A,partial,black
483,000483.jpg,1000,667,672,2,2,front,partial,silver
484,000484.jpg,1000,667,602,2,2,rear,partial,gray
485,000485.jpg,667,1000,699,8,4,front,partial,gray
486,000486.jpg,667,1000,664,3,2,side,partial,gray
487,000487.jpg,1000,667,653,2,1,side,partial,gray
488,000488.jpg,1000,704,566,1,1,N/A,partial,gray
489,000489.jpg,1000,667,741,1,1,N/A,partial,gray
490,000490.jpg,1000,667,496,2,2,rear,partial,white
491,000491.jpg,1000,667,875,6,2,side,partial,black
492,000492.jpg,1000,667,931,3,2,side,partial,black
493,000493.jpg,1000,750,648,3,2,front,partial,champagne
